Branch,Weather Event,Named Storm,Date of Weather Event,Year,Appropriation,Line Item/SAG,Line Item/SAG title,Details of Expense,Installation,State,Cost,Latitude,Longitude
USAR,Thunderstorm Wind,,43882,2020,OMAR,132,FSRM,Fence damage due to fallen tree,Athens,GA,4996783.0,33.9519,-83.3576
USA,Strong Wind,,43883,2020,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Riley,KS,1685224.0,39.0872,-96.8136
USAR,Hurricane (Typhoon),Francine,43883,2020,OMAR,132,FSRM,Repair Interior Water Damage,New Orleans,LA,1873318.0,29.9511,-90.0715
USAR,Hurricane (Typhoon),Milton,43888,2020,OMAR,132,FSRM,"Repair HVAC, Exterior Storm Water Drainage and Interior Water Damage",Tampa,FL,2702084.0,27.9506,-82.4572
USA,Hurricane (Typhoon),Milton,43894,2020,NAF,NAF,Unk,Palm Wing wet carpet (various),Shades of Green Resort,FL,1016225.0,28.4094,-81.5916
ANG,Hurricane (Typhoon),Milton,43902,2020,OMNG,132G76,Restoration,Roof Leaks,Bradenton Readiness Center,FL,2919267.0,27.498928,-82.574821
USAR,Winter Storm,,43910,2020,OMAR,132,FSRM,Hatch coverings on roof damaged by heavy winds,Narragansett,RI,3053322.0,41.4501,-71.4495
USAR,Tropical Storm,Debby,43912,2020,OMAR,132,FSRM,Roof Leaks/Fence/Interior damage/Window damage,St. Petersburg,FL,2205762.0,27.7676,-82.6403
ANG,High Wind,,43914,2020,OMNG,132G76,Restoration,"PN 09A4524002: Roof Replacement for the Main Hangar Building 320 located at Connecticut’s AVCRAD in Groton, Connecticut as a result of high winds.",Groton,CT,2288464.0,41.3498,-72.0791
USAR,Hurricane (Typhoon),Helene,43914,2020,OMAR,132,FSRM,Replace Light Pole Damaged from Hurricane Winds,St. Petersburg,FL,4424480.0,27.7676,-82.6403
ANG,Hurricane (Typhoon),Milton,43918,2020,OMNG,132G76,Restoration,Rain Gutter Damages,Bradenton Readiness Center,FL,1667526.0,27.498928,-82.574821
USAR,Hurricane (Typhoon),Milton,43929,2020,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,725033.0,27.9506,-82.4572
USA,Hurricane (Typhoon),Helene,43932,2020,OMA,132,FSRM,Miscellaneous Demand Maintenance Orders - 188 total,Hunter Army Airfield,GA,584321.0,32.0146,-81.1457
ANG,High Wind,,43938,2020,OMNG,132G76,Restoration,PN 467114: High winds; roof section of area 4 on the CSMS 1 shop has 2 large rips in the membrane and multiple smaller rips around mechanical equipment.,Mitchell,SD,1141167.0,43.7094,-98.0298
ANG,Hurricane (Typhoon),Milton,43939,2020,OMNG,132G76,Restoration,Soffit damages,Orlando National Training Center,FL,1426341.0,28.5383,-81.3792
ANG,Hurricane (Typhoon),Milton,43939,2020,OMNG,132G76,Restoration,Roof Leaks,Mark Lance Readiness Center,FL,2874278.0,29.9108,-81.3208
USAR,Thunderstorm Wind,,43941,2020,OMAR,132,FSRM,Cooling system damage (Lightning Strike),St. Petersburg,FL,2224092.0,27.7676,-82.6403
USAR,Tropical Storm,Debby,43942,2020,OMAR,132,FSRM,Flooding and fallen tree,Lodi,NJ,2054852.0,40.8823,-74.0832
USA,Hurricane (Typhoon),Helene,43943,2020,OMA,132,FSRM,"Vibbert Ave: Failed Storm Drain 32.363269, -84.976283",Fort Moore,GA,2264967.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Milton,43943,2020,NAF,NAF,Unk,Palm BOH (back off house) Contracting Office water leak,Shades of Green Resort,FL,1634921.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Helene,43945,2020,OMA,132,FSRM,"Repair roofs, siding, fencing, facsia and multiple DMOs",Fort Stewart,GA,1336751.0,31.8691,-81.6096
USAR,Hurricane (Typhoon),Helene,43947,2020,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Fort Knox,KY,386784.0,37.9161,-85.9565
USA,Winter Storm,,43948,2020,OMA,132,FSRM,Winter Storm,Fort Cavazos,TX,2737485.0,31.134,-97.78
USAR,Hurricane (Typhoon),Milton,43950,2020,OMAR,132,FSRM,"Repair Bay Door, Gates, Access Control System, and Roof Ventilation",Clearwater,FL,577635.0,27.9659,-82.8001
USA,Hurricane (Typhoon),Helene,43950,2020,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,1365143.0,31.8691,-81.6096
USA,Hurricane (Typhoon),Helene,43956,2020,OPA/AWCF,Unk,Unk,"Facility and Infrastructure Damage Estimates still under development.  Facility Repairs, multiple facilities.  Validation inspection to be scheduled on site for Contractor's ROM submittal of repairs ",Radford Army Ammunition Plant,VA,3378966.0,37.1814,-80.5816
USA,Hurricane (Typhoon),Helene,43956,2020,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,3335485.0,31.8691,-81.6096
ANG,Hurricane (Typhoon),Milton,43966,2020,OMNG,132G76,Restoration,Rain Gutter Damages,Bradenton Readiness Center,FL,3769692.0,27.498928,-82.574821
USA,Hurricane (Typhoon),Helene,43967,2020,OMA,132,FSRM,Cabin Repair Legion Landing,Fort Eisenhower,GA,1894652.0,33.4166,-82.1637
USA,Hurricane (Typhoon),Helene,43968,2020,OMA,131,Unk,Replace LMR Tower,Fort Stewart,GA,1191661.0,31.8691,-81.6096
ANG,Hurricane (Typhoon),Milton,43969,2020,OMNG,132G76,Restoration,"Damaged/unsafe trees, Kitchen Roof top, Electrical System Damages, HVAC Damages",Palmetto Readiness Center,FL,484202.0,27.5214,-82.5723
USAR,Hurricane (Typhoon),Helene,43971,2020,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,1591495.0,27.9506,-82.4572
USAR,Hurricane (Typhoon),Helene,43973,2020,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Greenville,SC,3715356.0,34.8526,-82.394
USA,Tropical Storm,Cyclone #8,43973,2020,OMA,132,FSRM,Emergency Road Bridge Insepction  ,Military Ocean Terminal Sunny Point,NC,2931806.0,33.998,-78.034
ANG,Hurricane (Typhoon),Helene,43973,2020,OMNG,132G76,Restoration,PN 12224128: Assess and repair HVAC controls and conduct technical system balancing to ensure proper performance and operation of Unit(s). Adjust fence mechanisms as necessary to return functions to full mission capabilities.,Jacksonville Cecil Field Army Aviation Support Facility 1,FL,3960912.0,30.2187,-81.876
USA,Tropical Storm,Cyclone #8,43979,2020,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,1612929.0,33.998,-78.034
USAR,Hurricane (Typhoon),Helene,43981,2020,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Knoxville,TN,4026062.0,35.9606,-83.9207
USA,Hurricane (Typhoon),Helene,43992,2020,OMA,131,Unk,Replace tower Morgans Bridge,Fort Stewart,GA,2510592.0,31.8691,-81.6096
USA,Hurricane (Typhoon),Milton,43992,2020,NAF,NAF,Unk,Express Café bus stop area water leak,Shades of Green Resort,FL,2775535.0,28.4094,-81.5916
USAR,Hurricane (Typhoon),Helene,43997,2020,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Fort Knox,KY,712115.0,37.9161,-85.9565
USA,Hurricane (Typhoon),Helene,44003,2020,OMA,132,FSRM,"Sightseeing Rd. #1 Water Utility and Erosion, Undersized Storm Drain 32.325528, -84.971371/ Sightseeing Rd. #2 Water and Utility and Erosion, Failed Storm Culvert 32.326023, -84.971213",Fort Moore,GA,4841925.0,32.3632,-84.9493
USA,Tropical Storm,Cyclone #8,44005,2020,OMA,132,FSRM,"Bldg 12 (OMA) - Flooding of 1st Floor to ceiling.  Repair/replace electrical system, HVAC components, Fire Alarm system, other internal facility components",Military Ocean Terminal Sunny Point,NC,202746.0,33.998,-78.034
ANG,Hurricane (Typhoon),Milton,44007,2020,OMNG,132G76,Restoration,"Roof Leaks, Gate, and Overhang Damage",Wauchula Readiness Center,FL,207303.0,27.5475,-81.8115
ANG,Hurricane (Typhoon),Milton,44012,2020,OMNG,132G76,Restoration,Damage to Awnings & Gutters,Field Maintenance Shop 6 - Haines City,FL,4743582.0,28.1142,-81.6201
USAR,Hurricane (Typhoon),Milton,44014,2020,OMAR,132,FSRM,"Repair Window Leaks, Roof and Interior Water Damages",MacDill Air Force Base,FL,440750.0,27.8493,-82.5212
USAR,Hurricane (Typhoon),Milton,44016,2020,OMAR,132,FSRM,Replace Exterior Windows,Orlando,FL,2091214.0,28.5383,-81.3792
USAR,Hurricane (Typhoon),Helene,44017,2020,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Knoxville,TN,4475335.0,35.9606,-83.9207
USAR,Hurricane (Typhoon),Helene,44020,2020,OMAR,132,FSRM,Repair Roof,Lexington,KY,3051611.0,38.0406,-84.5037
USA,Hurricane (Typhoon),Milton,44024,2020,NAF,NAF,Unk,Banquets Area Fence damage,Shades of Green Resort,FL,2648254.0,28.4094,-81.5916
USAR,Hurricane (Typhoon),Helene,44025,2020,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,777263.0,27.9506,-82.4572
ANG,Winter Weather,,44025,2020,OMNG,132G76,Restoration,PN 53240061: Pacific Northwest Sub Arctic Blast/Winter Storm.  Pipes burst causing flooding and damages to the building interiors.,Multiple Sites,WA,3008280.0,,
USA,Hurricane (Typhoon),Milton,44025,2020,NAF,NAF,Unk,Express Café bus stop area water leak,Shades of Green Resort,FL,1371151.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Debby,44033,2020,OMA,132,FSRM,Flooding,Fort Liberty,NC,4854337.0,35.1402,-79.006
ANG,Hurricane (Typhoon),Helene,44036,2020,OMNG,132G76,Restoration,"PN 372025011 consists of repair and/or restoration of site damage by Hurricane Helene.  Components include repair/resturation of site repairs of erosion and drainage systems due to erosion and any other repairs that must conform to current State code and NCNG standards for life, health and safety. ",Newton Readiness Center,NC,1717763.0,35.669,-81.2217
USA,Thunderstorm Wind,,44045,2020,OMA,132,FSRM,"Roof and window damages, Numerous downed power lines, trees",Fort Leonard Wood,MO,4138893.0,37.7386,-92.1407
USA,Hurricane (Typhoon),Helene,44047,2020,OMA,NAF,Unk,"Sunshine Road #1 Major Road Settling and Erosion 32.275039, -84.900504",Fort Moore,GA,2135717.0,32.3632,-84.9493
USAR,High Wind,,44047,2020,OMAR,132,FSRM,50' Tree Uprooted,Baltimore,MD,3827386.0,39.2904,-76.6122
USA,Hurricane (Typhoon),Helene,44060,2020,OMA,132,FSRM,"Repair roofs, siding, fencing, facsia and multiple DMOs",Fort Stewart,GA,1119454.0,31.8691,-81.6096
USAR,Hurricane (Typhoon),Milton,44063,2020,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,1956275.0,27.9506,-82.4572
ANG,Earthquake,,44066,2020,OMNG,132G76,Restoration,"PN 34FD029: Repairs to interior and exterior structural damage to the JFHQ Building 3650, JBMDL caused by 4.8 mag earthquake.",Joint Base McGuire-Dix-Lakehurst,NJ,4194451.0,40.0156,-74.5917
USA,Hurricane (Typhoon),Milton,44067,2020,NAF,NAF,Unk,Palm Wing wet carpet (various),Shades of Green Resort,FL,631908.0,28.4094,-81.5916
USAR,Hurricane (Typhoon),Milton,44086,2020,OMAR,132,FSRM,Repair Exterior Wall and Interior Water Damage,Tampa,FL,3688364.0,27.9506,-82.4572
ANG,Hurricane (Typhoon),Milton,44089,2020,OMNG,132G76,Restoration,"Soffit, air ducts,and  roof top A/C damages.  Clogged Drainage, Erosion, and concrete rupture.",Sarasota Readiness Center,FL,4816488.0,27.3412,-82.5283
USA,High Surf,,44104,2020,RDT&E,DW7,QRPA,Roi-Namur Island,Kwajalein,MH,2472147.0,9.1898,167.4243
USA,Tornado,,44105,2020,OMA,121,Unk,"Strong winds, Damage to range structures",Fort Cavazos,TX,811901.0,31.134,-97.78
USA,Hurricane (Typhoon),Helene,44110,2020,OMA,132,FSRM,"Sunshine Road #4 Depression in Asphalt 32.275634, -84.873116",Fort Moore,GA,4024124.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Helene,44110,2020,OMA,132,FSRM,Miscellaneous Demand Maintenance Orders - 188 total,Hunter Army Airfield,GA,4840391.0,32.0146,-81.1457
USAR,Tropical Storm,Debby,44113,2020,OMAR,132,FSRM,Roof Leaks/Fence/Interior damage/Window damage,St. Petersburg,FL,4667127.0,27.7676,-82.6403
ANG,Hurricane (Typhoon),Milton,44116,2020,OMNG,132G76,Restoration,Roof Leaks,Mark Lance Readiness Center,FL,329592.0,29.9108,-81.3208
USA,Tropical Storm,Cyclone #8,44118,2020,OMA,132,FSRM,"Compelte repairs of perimeter road, OMA Facility Repairs.  IGEs will be provided in FY25 and project repairs will then be seperated by infrastructure",Military Ocean Terminal Sunny Point,NC,3204147.0,33.998,-78.034
USA,Hurricane (Typhoon),Helene,44121,2020,OMA,132,FSRM,"Repair roofs, siding, fencing, doors, windows in 38 facilities",Hunter Army Airfield,GA,581893.0,32.0146,-81.1457
USAR,Hurricane (Typhoon),Helene,44126,2020,OMAR,132,FSRM,Repair Roof,Fort Thomas,KY,4494878.0,39.0789,-84.4477
ANG,Hurricane (Typhoon),Milton,44132,2020,OMNG,132G76,Restoration,"Damaged/unsafe trees, Kitchen Roof top, Electrical System Damages, HVAC Damages",Palmetto Readiness Center,FL,2561859.0,27.5214,-82.5723
USA,Hurricane (Typhoon),Debby,44133,2020,OMA,132,FSRM,Repair Perimter Road Bridge ,Hunter Army Airfield,GA,3457591.0,32.0146,-81.1457
ANG,Hurricane (Typhoon),Milton,44139,2020,OMNG,132G76,Restoration,"Damaged/unsafe trees, Kitchen Roof top, Electrical System Damages, HVAC Damages",Palmetto Readiness Center,FL,489398.0,27.5214,-82.5723
ANG,Hurricane (Typhoon),Helene,44140,2020,OMNG,132G76,Restoration,Damage to bldgs. at GA's Training Center on their enclave at Fort Stewart. Significant roof damage to approximately 250 of their open bay transient barracks. Each of the bldgs. have shingle roofs and are 20+ years old. ,Georgia Training Center on Fort Stewart,GA,3167612.0,31.8691,-81.6096
USAR,Hurricane (Typhoon),Helene,44142,2020,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Greenville,SC,263692.0,34.8526,-82.394
ANG,Hurricane (Typhoon),Helene,44147,2020,OMNG,132G76,Restoration,"PN 372025011 consists of repair and/or restoration of site damage by Hurricane Helene.  Components include repair/resturation of site repairs of erosion and drainage systems due to erosion and any other repairs that must conform to current State code and NCNG standards for life, health and safety. ",Newton Readiness Center,NC,2440113.0,35.669,-81.2217
USAR,Tropical Storm,Debby,44152,2020,OMAR,132,FSRM,Roof Leaks/Fence/Interior damage/Window damage,St. Petersburg,FL,3677652.0,27.7676,-82.6403
USAR,Hurricane (Typhoon),Milton,44156,2020,OMAR,132,FSRM,Repair Exterior Wall and Interior Water Damage,Tampa,FL,4193951.0,27.9506,-82.4572
ANG,Hurricane (Typhoon),Helene,44156,2020,OMNG,132G76,Restoration,"PN 372025010  consists of repair/restoration as a result of facility damage from Hurricane Helene. The AON will repair and restore the roof, flashing, gutters, and windows as a result of hurricane force winds and heavy rain. It will repair and restore the fencing, POV parking and entry road due to heavy winds and erosion. There will be an abatement of hazardous materials, as needed.",Jefferson Readiness Center,NC,1206442.0,36.4201,-81.4737
USA,Hurricane (Typhoon),Milton,44158,2020,NAF,NAF,Unk,Palm BOH (back off house) Mail Room roof leak,Shades of Green Resort,FL,1824405.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Helene,44158,2020,OMA,132,FSRM,"Repair roofs, siding, fencing, facsia and multiple DMOs",Fort Stewart,GA,702131.0,31.8691,-81.6096
USA,Hurricane (Typhoon),Helene,44160,2020,OMA,132,FSRM,Cabin Repair Legion Landing,Fort Eisenhower,GA,1819541.0,33.4166,-82.1637
ANG,Hurricane (Typhoon),Helene,44162,2020,OMNG,132G76,Restoration,"PN 12224129: Analyze, assess, repair and replace multiple components throughout the facility. North wing: 8,016 SF of steep sloped metal (RSL 7); South Wing - 3,609 SF steep slope formed metal (RSL20). Scope of work requires assessment and repairs on North Wing and South Wing roof along with replacement of wet ceiling tiles",Tampa Readiness Center Field Maintenance Shop 4,FL,3263312.0,27.9713,-82.4454
USA,Hurricane (Typhoon),Helene,44163,2020,OPA/AWCF,Unk,Unk,"Facility and Infrastructure Damage Estimates still under development.  Facility Repairs, multiple facilities.  Validation inspection to be scheduled on site for Contractor's ROM submittal of repairs ",Radford Army Ammunition Plant,VA,4668910.0,37.1814,-80.5816
USA,Hurricane (Typhoon),Helene,44166,2020,OMA,132,FSRM,"Sightseeing Rd. #1 Water Utility and Erosion, Undersized Storm Drain 32.325528, -84.971371/ Sightseeing Rd. #2 Water and Utility and Erosion, Failed Storm Culvert 32.326023, -84.971213",Fort Moore,GA,1486904.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Helene,44169,2020,OMA,132,FSRM,"Sunshine Road #4 Depression in Asphalt 32.275634, -84.873116",Fort Moore,GA,760546.0,32.3632,-84.9493
USAR,Hurricane (Typhoon),Milton,44174,2020,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,554143.0,27.9506,-82.4572
USA,Winter Storm,,44177,2020,OMA,131,FSRM,Emergency clean up,Fort Leavenworth,KS,1915874.0,39.3597,-94.9225
ANG,Winter Weather,,44180,2020,OMNG,132G76,Restoration,PN 53240061: Pacific Northwest Sub Arctic Blast/Winter Storm.  Pipes burst causing flooding and damages to the building interiors.,Multiple Sites,WA,146036.0,,
USA,Strong Wind,,44181,2020,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Leavenworth,KS,1479609.0,39.3597,-94.9225
USA,Winter Storm,,44183,2020,OMA,132,FSRM,"Yakima, Multiple buildings",Joint Base Lewis-McChord,WA,520449.0,47.0525,-122.4827
USA,Hurricane (Typhoon),Helene,44188,2020,OMA,132,FSRM,"Legacy Blvd: Failed Storm Drain and Road Erosion 32.374378, -84.957331",Fort Moore,GA,2636571.0,32.3632,-84.9493
USAR,Hurricane (Typhoon),Helene,44190,2020,OMAR,132,FSRM,Repair Roof,Fort Thomas,KY,4838413.0,39.0789,-84.4477
USA,Hurricane (Typhoon),Helene,44190,2020,OMA,131,Unk,"Labor, OT  and Travel for DAC Deployed to FEGA. ",Fort Novosel,AL,865417.0,31.3378,-85.711
USAR,Hurricane (Typhoon),Milton,44191,2020,OMAR,132,FSRM,Repair Interior Water Damage,Tampa,FL,4267639.0,27.9506,-82.4572
USA,Winter Storm,,43831,2021,OMA,132,FSRM,Winter Storm,Fort Riley,KS,2902588.0,39.0872,-96.8136
USA,Hail,,43832,2021,OMA,132,FSRM,Roof Damage and Uprooted Trees,Fort Bliss,TX,4956200.0,31.8129,-106.421
USA,Hurricane (Typhoon),Milton,43836,2021,NAF,NAF,Unk,Banquets Area Fence damage,Shades of Green Resort,FL,361933.0,28.4094,-81.5916
USA,Hurricane (Typhoon),Helene,43840,2021,OMA,121,Unk,"Labor,Travel, OT",Fort Eisenhower,GA,821508.0,33.4166,-82.1637
USAR,Hurricane (Typhoon),Milton,43841,2021,OMAR,132,FSRM,"Repair Window Leaks, Roof and Interior Water Damages",MacDill Air Force Base,FL,1420193.0,27.8493,-82.5212
USA,Hurricane (Typhoon),Helene,43855,2021,OPA/AWCF,Unk,Unk,"Facility and Infrastructure Damage Estimates still under development.  Facility Repairs, multiple facilities.  Validation inspection to be scheduled on site for Contractor's ROM submittal of repairs ",Radford Army Ammunition Plant,VA,3721221.0,37.1814,-80.5816
ANG,Hurricane (Typhoon),Helene,43860,2021,OMNG,132G76,Restoration,"PN 372025010  consists of repair/restoration as a result of facility damage from Hurricane Helene. The AON will repair and restore the roof, flashing, gutters, and windows as a result of hurricane force winds and heavy rain. It will repair and restore the fencing, POV parking and entry road due to heavy winds and erosion. There will be an abatement of hazardous materials, as needed.",Jefferson Readiness Center,NC,3218650.0,36.4201,-81.4737
ANG,Thunderstorm Wind,,43863,2021,OMNG,132G76,Restoration,"PNs 5424037 / 542438: EF1 Tornadic Winds damaged both Dunbar Armory and Eleanor CSM. Repair or replace damaged drywall, water damage to doors and roof. ",Eleanor / Dunbar,WV,603411.0,38.5351,-81.8196
USAR,Hurricane (Typhoon),Helene,43863,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,St. Petersburg,GA,4362103.0,27.7676,-82.6403
USAR,Hurricane (Typhoon),Helene,43866,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Greenville,SC,1769302.0,34.8526,-82.394
USAR,Thunderstorm Wind,,43871,2021,OMAR,132,FSRM,Cooling system damage (Lightning Strike),St. Petersburg,FL,2018521.0,27.7676,-82.6403
USAR,Hurricane (Typhoon),Helene,43874,2021,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,3094484.0,27.9506,-82.4572
USAR,Hurricane (Typhoon),Helene,43877,2021,OMAR,132,FSRM,Remove Tree,Aiken,SC,4803249.0,33.5604,-81.7196
USAR,Thunderstorm Wind,,43885,2021,OMAR,132,FSRM,Fence damage due to fallen tree,Gainesville,GA,436642.0,34.2979,-83.8241
USA,Heavy Rain,,43887,2021,OMA,132,FSRM,Power outages,Presidio of Monterey,CA,2794837.0,36.6138,-121.8223
USAR,Hurricane (Typhoon),Milton,43888,2021,OMAR,132,FSRM,Replace Exterior Windows,Orlando,FL,2651873.0,28.5383,-81.3792
USAR,Hurricane (Typhoon),Helene,43888,2021,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Fort Jackson,SC,1879949.0,34.0166,-80.9398
ANG,Hurricane (Typhoon),Helene,43889,2021,OMNG,132G76,Restoration,"PN 12224129: Analyze, assess, repair and replace multiple components throughout the facility. North wing: 8,016 SF of steep sloped metal (RSL 7); South Wing - 3,609 SF steep slope formed metal (RSL20). Scope of work requires assessment and repairs on North Wing and South Wing roof along with replacement of wet ceiling tiles",Tampa Readiness Center Field Maintenance Shop 4,FL,2899960.0,27.9713,-82.4454
USAR,Hurricane (Typhoon),Helene,43892,2021,OMAR,132,FSRM,Remove Tree,Aiken,SC,1871598.0,33.5604,-81.7196
USAR,Hurricane (Typhoon),Helene,43895,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Knoxville,TN,2231496.0,35.9606,-83.9207
USAR,Hurricane (Typhoon),Helene,43896,2021,OMAR,132,FSRM,Remove Tree,Aiken,SC,1581167.0,33.5604,-81.7196
USAR,Hurricane (Typhoon),Milton,43901,2021,OMAR,132,FSRM,Replace Exterior HVAC Equipment,Tallahassee,FL,2388687.0,30.4383,-84.2807
USA,Strong Wind,,43902,2021,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Riley,KS,2819895.0,39.0872,-96.8136
USA,Winter Storm,,43904,2021,OMA,132,FSRM,"Yakima, Multiple buildings",Joint Base Lewis-McChord,WA,2338660.0,47.0525,-122.4827
USA,Winter Storm,,43909,2021,OMA,132,FSRM,Winter Storm,Fort Cavazos,TX,2029170.0,31.134,-97.78
USA,Tornado,,43909,2021,OMA,132,FSRM,"Strong winds, 16 bldgs affected, roof repairs, gutters, downspouts, HVAC",Fort Cavazos,TX,2499812.0,31.134,-97.78
USA,Hurricane (Typhoon),Helene,43911,2021,OMA,131,Unk,Replace tower Morgans Bridge,Fort Stewart,GA,4237607.0,31.8691,-81.6096
USAR,Hurricane (Typhoon),Helene,43912,2021,OMAR,132,FSRM,Remove Tree,Aiken,SC,3431246.0,33.5604,-81.7196
USAR,Hurricane (Typhoon),Helene,43913,2021,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,St. Petersburg,GA,3597732.0,27.7676,-82.6403
USA,Hurricane (Typhoon),Milton,43915,2021,NAF,NAF,Unk,Banquets Area Fence damage,Shades of Green Resort,FL,1200721.0,28.4094,-81.5916
